Date,Relative Humidity (%),Solar Radiation (watts/sq meter),Atmosphere Pressure (mb),Wind Speed (m/sec),Wind Direction (degrees),Battery (volts),Air Temperature (°C),ParametersOutOfRange
7/1/2013 0:00,65.95,0,1012,3.2,336.6,12.98,22.94,
7/1/2013 2:00,73.5,0,1012,2.53,332.9,12.81,21.38,
7/1/2013 3:00,73.7,0,1012,2.95,321.4,12.9,21.23,
7/1/2013 4:00,69.93,0.14,1012,2.57,334,12.89,20.92,
7/1/2013 6:00,67.51,149.8,1013,2.43,304.9,12.94,20.54,
7/1/2013 7:00,67.29,219.5,1013,2.46,301,13.32,20.52,
7/1/2013 8:00,66.06,374.4,1013,1.98,296.4,13.6,20.96,
7/1/2013 10:00,57.2,704,1013,1.51,316.3,13.54,24.04,
7/1/2013 11:00,60.43,644.1,1013,3.78,214.7,13.73,23.61,
7/1/2013 12:00,56.48,676.1,1013,3.22,260.5,13.67,24.42,
7/1/2013 14:00,53.91,481.7,1013,1,99.4,13.36,26.27,
7/1/2013 15:00,53.38,624,1013,0.43,45.95,13.67,27.11,
7/1/2013 16:00,52.25,611.3,1013,1.06,32.58,13.71,27.82,
7/1/2013 18:00,58.57,193.9,1012,1.35,322,13.12,27.71,
7/1/2013 19:00,63.65,159.2,1013,3.51,305.8,13.65,26.46,
7/1/2013 20:00,62.36,57.5,1013,3.15,301.3,13.41,25.42,
7/1/2013 22:00,68.02,0,1014,3.56,304.5,12.89,23.24,
7/1/2013 23:00,65.15,0,1015,4.34,304.2,13,22.66,
7/2/2013 0:00,67.94,0,1016,3.76,317.3,12.97,21.65,
7/2/2013 1:00,68.59,0,1016,2.74,318.7,12.93,20.13,
7/2/2013 2:00,71.1,0,1017,2.51,5.24,12.93,20.01,
7/2/2013 3:00,72.1,0,1017,1.49,340.1,12.92,19.44,
7/2/2013 4:00,75.3,0.23,1016,2.01,306.2,12.91,19.11,
7/2/2013 5:00,82.1,12.09,1016,3.34,250.2,12.93,17.65,
7/2/2013 6:00,78.2,98.8,1017,0.83,307.1,13.34,18.18,
7/2/2013 7:00,75.4,187.6,1018,0.46,289.4,13.64,18.9,
7/2/2013 8:00,74.8,389.4,1018,0.99,232.7,13.85,18.66,
7/2/2013 9:00,69.6,535.2,1018,1.03,267.2,14,18.93,
7/2/2013 10:00,69.98,658.5,1018,1.53,281.4,13.7,19.63,
7/2/2013 11:00,70.2,677.3,1018,2.26,213.2,13.66,20.25,
7/2/2013 12:00,67.5,608.1,1018,1.76,180.1,13.63,21.23,
7/2/2013 13:00,62.97,730,1018,1.58,200.2,13.69,22.6,
7/2/2013 14:00,50.79,696,1018,5.22,318.5,13.71,23.46,
7/2/2013 15:00,43.99,645.5,1018,4.91,279.7,13.7,24.2,
7/2/2013 16:00,48.22,515.9,1018,4.06,307,13.71,24.51,
7/2/2013 17:00,52.1,203,1018,4.67,321.2,13.72,23.97,
7/2/2013 18:00,47.84,154.3,1017,3.36,329.5,13.78,24.39,
7/2/2013 19:00,52.13,154.2,1017,3.85,328.9,14.04,24.21,
7/2/2013 20:00,52.53,58,1016,3.53,336.9,13.37,23.53,
7/2/2013 21:00,54.39,1.7,1016,4.82,334.9,13.08,22.2,
7/2/2013 22:00,60.8,0,1017,5.21,325.8,13.01,20.38,
7/2/2013 23:00,61.13,0,1017,4.26,333.1,12.99,19.07,
7/3/2013 0:00,61.4,0,1018,4.08,347.6,12.97,18.45,
7/3/2013 1:00,58.21,0,1018,4.09,344.7,12.96,17.85,
7/3/2013 2:00,56.4,0,1018,4.86,343.5,12.95,17.54,
7/3/2013 3:00,57.57,0,1018,4.48,341.4,12.93,16.81,
7/3/2013 4:00,60.13,0.05,1019,4.26,345.2,12.92,16.49,
7/3/2013 5:00,64,6.77,1019,4.02,327.7,12.91,16.07,
7/3/2013 6:00,64.67,53.78,1019,4,324.1,13.01,16.22,
7/3/2013 7:00,65.57,210.3,1019,3.33,315.5,13.44,16.18,
7/3/2013 8:00,64.41,394.5,1019,2.74,302.9,13.9,16.7,
7/3/2013 9:00,61.99,568.4,1020,2.17,300.1,13.96,17.35,
7/3/2013 10:00,61.09,707,1020,1.79,308.8,13.67,18.41,
7/3/2013 11:00,59.12,789,1020,1.02,120.5,13.61,19.51,
7/3/2013 12:00,56.58,820,1019,0.71,210.1,13.59,20.6,
7/3/2013 13:00,54.07,614.7,1019,0.83,247.1,13.64,21.62,
7/3/2013 14:00,49.4,653,1019,1.78,318,13.65,22.49,
7/3/2013 15:00,52.32,625.6,1018,2.98,327.1,13.63,22.89,
7/3/2013 16:00,49.44,487.9,1017,3.41,321.9,13.65,23.29,
7/3/2013 17:00,49.89,444.7,1017,3.49,290.7,13.7,23.44,
7/3/2013 18:00,51.73,324.3,1016,4.25,309.7,13.73,23.04,
7/3/2013 19:00,50.33,210.2,1016,5.15,316.9,13.96,22.83,
7/3/2013 20:00,49.33,60.84,1016,6.48,323.8,13.48,21.38,
7/3/2013 21:00,57.82,1.69,1017,5.21,328.3,13.09,20.27,
7/3/2013 22:00,64.02,0,1017,5.21,328.2,13.01,18.66,
7/3/2013 23:00,65.07,0,1017,4.77,332.4,12.98,17.69,
7/4/2013 0:00,64.59,0,1017,2.89,355.2,12.97,16.97,
7/4/2013 1:00,63.79,0,1017,2.38,0.88,12.95,16.74,
7/4/2013 2:00,68.94,0,1017,4,332.9,12.93,16.25,
7/4/2013 3:00,71.9,0,1018,4.14,343.9,12.91,15.61,
7/4/2013 4:00,75.2,0.06,1018,3.7,356.5,12.89,15.09,
7/4/2013 5:00,78,9.24,1018,3.29,12.1,12.89,14.73,
7/4/2013 6:00,77.8,41.89,1018,3.04,19.97,12.96,14.92,
7/4/2013 7:00,77.2,61.44,1018,2.05,29.17,13.04,15.1,
7/4/2013 8:00,76.4,129.3,1018,2.76,79.2,13.37,15.5,
7/4/2013 9:00,80.3,132.2,1018,3.72,140.5,13.59,15.59,
7/4/2013 10:00,77.6,181.9,1019,2.91,155.7,13.73,15.77,
7/4/2013 11:00,71,280.1,1018,2.53,153.5,13.99,16.5,
7/4/2013 12:00,68.08,360.4,1018,2.37,155.4,13.8,17.03,
7/4/2013 13:00,68.13,485.5,1018,3.09,167.3,13.66,17.41,
7/4/2013 14:00,66.81,740,1018,3.34,157.6,13.61,17.72,
7/4/2013 15:00,62.07,698.9,1018,2.5,155.3,13.59,18.36,
7/4/2013 16:00,59.85,583.3,1018,2.01,163.6,13.59,18.97,
7/4/2013 17:00,55.59,461.4,1017,1.2,200.9,13.64,19.87,
7/4/2013 18:00,51.6,273.6,1017,0.56,223.8,13.67,20.71,
7/4/2013 19:00,54.4,123.9,1016,1.84,225,13.53,20.65,
7/4/2013 20:00,57.72,21.8,1016,2.4,217.9,13.21,20.24,
7/4/2013 21:00,60.32,1.21,1016,2.05,218.6,13.03,19.97,
