Date,Surf_PAR_umol/s/sqm,Qual_Surf_PAR
7/1/15 0:00,1,210
7/1/15 0:15,1,210
7/1/15 0:30,1,210
7/1/15 0:45,1,210
7/1/15 1:00,1,210
7/1/15 1:15,1,210
7/1/15 1:30,1,210
7/1/15 1:45,1,210
7/1/15 2:00,1,210
7/1/15 2:15,1,210
7/1/15 2:30,1,210
7/1/15 2:45,1,210
7/1/15 3:00,1,210
7/1/15 3:15,1,210
7/1/15 3:30,1,210
7/1/15 3:45,1,210
7/1/15 4:00,1,210
7/1/15 4:15,8,210
7/1/15 4:30,20,210
7/1/15 4:45,37,210
7/1/15 5:00,52,210
7/1/15 5:15,67,210
7/1/15 5:30,79,210
7/1/15 5:45,89,210
7/1/15 6:00,98,210
7/1/15 6:15,107,210
7/1/15 6:30,115,210
7/1/15 6:45,121,210
7/1/15 7:00,130,210
7/1/15 7:15,728,210
7/1/15 7:30,822,210
7/1/15 7:45,917,210
7/1/15 8:00,1006,210
7/1/15 8:15,1092,210
7/1/15 8:30,1178,210
7/1/15 8:45,1256,210
7/1/15 9:00,1336,210
7/1/15 9:15,1414,210
7/1/15 9:30,1485,210
7/1/15 9:45,1554,210
7/1/15 10:00,1614,210
7/1/15 10:15,1675,210
7/1/15 10:30,1717,210
7/1/15 10:45,1767,210
7/1/15 11:00,1802,210
7/1/15 11:15,1832,210
7/1/15 11:30,1855,210
7/1/15 11:45,1875,210
7/1/15 12:00,1882,210
7/1/15 12:15,1885,210
7/1/15 12:30,1844,210
7/1/15 12:45,1801,210
7/1/15 13:00,1839,210
7/1/15 13:15,1813,210
7/1/15 13:30,1777,210
7/1/15 13:45,1739,210
7/1/15 14:00,1460,210
7/1/15 14:15,1640,210
7/1/15 14:30,1578,210
7/1/15 14:45,1515,210
7/1/15 15:00,1449,210
7/1/15 15:15,1377,210
7/1/15 15:30,1302,210
7/1/15 15:45,1224,210
7/1/15 16:00,1147,210
7/1/15 16:15,1063,210
7/1/15 16:30,978,210
7/1/15 16:45,898,210
7/1/15 17:00,812,210
7/1/15 17:15,757,210
7/1/15 17:30,759,210
7/1/15 17:45,571,210
7/1/15 18:00,478,210
7/1/15 18:15,394,210
7/1/15 18:30,309,210
7/1/15 18:45,240,210
7/1/15 19:00,175,210
7/1/15 19:15,121,210
7/1/15 19:30,76,210
7/1/15 19:45,37,210
7/1/15 20:00,18,210
7/1/15 20:15,6,210
7/1/15 20:30,1,210
7/1/15 20:45,1,210
7/1/15 21:00,1,210
7/1/15 21:15,1,210
7/1/15 21:30,1,210
7/1/15 21:45,1,210
7/1/15 22:00,1,210
7/1/15 22:15,1,210
7/1/15 22:30,1,210
7/1/15 22:45,1,210
7/1/15 23:00,1,210
7/1/15 23:15,1,210
7/1/15 23:30,1,210
7/1/15 23:45,1,210
7/2/15 0:00,1,210
7/2/15 0:15,1,210
7/2/15 0:30,1,210
7/2/15 0:45,1,210
7/2/15 1:00,1,210
7/2/15 1:15,1,210
7/2/15 1:30,1,210
7/2/15 1:45,1,210
7/2/15 2:00,1,210
7/2/15 2:15,1,210
7/2/15 2:30,1,210
7/2/15 2:45,1,210
7/2/15 3:00,1,210
7/2/15 3:15,1,210
7/2/15 3:30,1,210
7/2/15 3:45,1,210
7/2/15 4:00,1,210
7/2/15 4:15,7,210
7/2/15 4:30,20,210
7/2/15 4:45,36,210
7/2/15 5:00,52,210
7/2/15 5:15,65,210
7/2/15 5:30,77,210
7/2/15 5:45,87,210
7/2/15 6:00,97,210
7/2/15 6:15,105,210
7/2/15 6:30,113,210
7/2/15 6:45,118,210
7/2/15 7:00,127,210
7/2/15 7:15,720,210
7/2/15 7:30,816,210
7/2/15 7:45,908,210
7/2/15 8:00,993,210
7/2/15 8:15,1096,210
7/2/15 8:30,1185,210
7/2/15 8:45,1273,210
7/2/15 9:00,1350,210
7/2/15 9:15,1424,210
7/2/15 9:30,1494,210
7/2/15 9:45,1559,210
7/2/15 10:00,1620,210
7/2/15 10:15,1679,210
7/2/15 10:30,1723,210
7/2/15 10:45,1769,210
7/2/15 11:00,1805,210
7/2/15 11:15,1835,210
7/2/15 11:30,1846,210
7/2/15 11:45,1871,210
7/2/15 12:00,1876,210
7/2/15 12:15,1876,210
7/2/15 12:30,1800,210
7/2/15 12:45,1813,210
7/2/15 13:00,1844,210
7/2/15 13:15,1813,210
7/2/15 13:30,1786,210
7/2/15 13:45,1734,210
7/2/15 14:00,1537,210
7/2/15 14:15,1637,210
7/2/15 14:30,1576,210
7/2/15 14:45,1515,210
7/2/15 15:00,1441,210
7/2/15 15:15,1372,210
7/2/15 15:30,1304,210
7/2/15 15:45,1204,210
7/2/15 16:00,1179,210
7/2/15 16:15,1060,210
7/2/15 16:30,933,210
7/2/15 16:45,834,210
7/2/15 17:00,790,210
7/2/15 17:15,753,210
7/2/15 17:30,707,210
7/2/15 17:45,589,210
7/2/15 18:00,198,210
7/2/15 18:15,321,210
7/2/15 18:30,355,210
7/2/15 18:45,223,210
7/2/15 19:00,99,210
7/2/15 19:15,93,210
7/2/15 19:30,62,210
7/2/15 19:45,30,210
7/2/15 20:00,14,210
7/2/15 20:15,5,210
7/2/15 20:30,1,210
7/2/15 20:45,1,210
7/2/15 21:00,1,210
7/2/15 21:15,1,210
7/2/15 21:30,1,210
7/2/15 21:45,1,210
7/2/15 22:00,1,210
7/2/15 22:15,1,210
7/2/15 22:30,1,210
7/2/15 22:45,1,210
7/2/15 23:00,1,210
7/2/15 23:15,1,210
7/2/15 23:30,1,210
7/2/15 23:45,1,210
7/3/15 0:00,1,210
7/3/15 0:15,1,210
7/3/15 0:30,1,210
7/3/15 0:45,1,210
7/3/15 1:00,1,210
7/3/15 1:15,1,210
7/3/15 1:30,1,210
7/3/15 1:45,1,210
7/3/15 2:00,1,210
7/3/15 2:15,1,210
7/3/15 2:30,1,210
7/3/15 2:45,1,210
7/3/15 3:00,1,210
7/3/15 3:15,1,210
7/3/15 3:30,1,210
7/3/15 3:45,1,210
7/3/15 4:00,1,210
7/3/15 4:15,6,210
7/3/15 4:30,19,210
7/3/15 4:45,35,210
7/3/15 5:00,51,210
7/3/15 5:15,65,210
7/3/15 5:30,77,210
7/3/15 5:45,87,210
7/3/15 6:00,97,210
7/3/15 6:15,105,210
7/3/15 6:30,114,210
7/3/15 6:45,119,210
7/3/15 7:00,128,210
7/3/15 7:15,723,210
7/3/15 7:30,816,210
7/3/15 7:45,911,210
7/3/15 8:00,1006,210
7/3/15 8:15,1096,210
7/3/15 8:30,1190,210
7/3/15 8:45,1263,210
7/3/15 9:00,1350,210
7/3/15 9:15,1428,210
7/3/15 9:30,1502,210
7/3/15 9:45,1569,210
7/3/15 10:00,1632,210
7/3/15 10:15,1687,210
7/3/15 10:30,1733,210
7/3/15 10:45,1783,210
7/3/15 11:00,1807,210
7/3/15 11:15,1831,210
