Date,Clouds,Smoke
7/1/2015,0,0
7/2/2015,0,0
7/3/2015,0,0
7/4/2015,0,0
7/5/2015,0,1
7/6/2015,0,1
7/7/2015,0,1
7/8/2015,0,0
7/9/2015,0,1
7/10/2015,1,
7/11/2015,1,
7/12/2015,1,
7/13/2015,1,
7/14/2015,0,0
7/15/2015,1,0
7/16/2015,1,
7/17/2015,0,0
7/18/2015,0,0
7/19/2015,0,0
7/20/2015,1,0
7/21/2015,1,
7/22/2015,1,
7/23/2015,1,
7/24/2015,1,
7/25/2015,1,
7/26/2015,1,
7/27/2015,1,
7/28/2015,0,0
7/29/2015,0,0
7/30/2015,0,0
7/31/2015,0,0
8/1/2015,0,0
8/2/2015,1,
8/3/2015,1,1
8/4/2015,0,0
8/5/2015,1,
8/6/2015,1,
8/7/2015,0,0
8/8/2015,1,
8/9/2015,1,0
8/10/2015,1,1
8/11/2015,1,
8/12/2015,1,1
8/13/2015,0,0
8/14/2015,1,
8/15/2015,1,
8/16/2015,0,0
8/17/2015,0,0
8/18/2015,0,1
8/19/2015,0,0
8/20/2015,1,
8/21/2015,1,
8/22/2015,0,1
8/23/2015,0,1
8/24/2015,1,1
8/25/2015,0,0
8/26/2015,1,1
8/27/2015,1,0
8/28/2015,1,
8/29/2015,1,
8/30/2015,1,
8/31/2015,1,
7/1/2016,1,
7/2/2016,1,
7/3/2016,1,
7/4/2016,1,
7/5/2016,1,
7/6/2016,1,
7/7/2016,1,
7/8/2016,1,
7/9/2016,1,
7/10/2016,1,
7/11/2016,1,
7/12/2016,1,
7/13/2016,1,
7/14/2016,1,
7/15/2016,1,
7/16/2016,1,
7/17/2016,1,
7/18/2016,1,
7/19/2016,1,
7/20/2016,1,
7/21/2016,0,0
7/22/2016,1,
7/23/2016,1,
7/24/2016,0,0
7/25/2016,1,
7/26/2016,1,
7/27/2016,0,0
7/28/2016,0,0
7/29/2016,0,0
7/30/2016,1,
7/31/2016,1,
8/1/2016,1,
8/2/2016,1,
8/3/2016,1,
8/4/2016,0,0
8/5/2016,0,0
8/6/2016,1,
8/7/2016,1,
8/8/2016,1,
8/9/2016,1,
8/10/2016,1,
8/11/2016,0,0
8/12/2016,0,0
8/13/2016,0,0
8/14/2016,0,0
8/15/2016,0,0
8/16/2016,0,0
8/17/2016,0,0
8/18/2016,0,0
8/19/2016,0,0
8/20/2016,0,1
8/21/2016,1,
8/22/2016,1,
8/23/2016,0,0
8/24/2016,0,0
8/25/2016,0,0
8/26/2016,1,
8/27/2016,1,
8/28/2016,1,
8/29/2016,0,0
8/30/2016,1,
8/31/2016,1,
7/1/2017,1,
7/2/2017,1,
7/3/2017,1,
7/4/2017,1,
7/5/2017,0,0
7/6/2017,0,0
7/7/2017,1,
7/8/2017,0,0
7/9/2017,1,
7/10/2017,1,
7/11/2017,0,0
7/12/2017,1,
7/13/2017,1,
7/14/2017,0,0
7/15/2017,0,0
7/16/2017,1,
7/17/2017,0,0
7/18/2017,0,0
7/19/2017,0,0
7/20/2017,1,
7/21/2017,1,
7/22/2017,1,
7/23/2017,1,
7/24/2017,0,0
7/25/2017,0,0
7/26/2017,0,0
7/27/2017,1,
7/28/2017,1,
7/29/2017,0,0
7/30/2017,0,0
7/31/2017,0,0
8/1/2017,0,1
8/2/2017,0,1
8/3/2017,0,1
8/4/2017,0,1
8/5/2017,0,1
8/6/2017,0,1
8/7/2017,0,1
8/8/2017,0,1
8/9/2017,0,1
8/10/2017,0,1
8/11/2017,1,1
8/12/2017,1,
8/13/2017,1,
8/14/2017,1,
8/15/2017,1,
8/16/2017,1,
8/17/2017,1,
8/18/2017,1,
8/19/2017,0,0
8/20/2017,1,
8/21/2017,0,0
8/22/2017,0,1
8/23/2017,1,
8/24/2017,1,
8/25/2017,1,
8/26/2017,0,0
8/27/2017,0,1
8/28/2017,0,1
8/29/2017,0,1
8/30/2017,1,
8/31/2017,1,
